Result,model_param,Score,type,C,gamma,coef0,kernel
0.873892405063291,128.0 / 0.00049 / 1.0,Accuracy,train,128.0,0.00048828125,1.0,sigmoid
0.8487341772151898,128.0 / 0.00098 / 1.0,Accuracy,train,128.0,0.0009765625,1.0,sigmoid
0.7929746835443038,128.0 / 0.00781 / 1.0,Accuracy,train,128.0,0.0078125,1.0,sigmoid
0.7423417721518987,128.0 / 0.01562 / 1.0,Accuracy,train,128.0,0.015625,1.0,sigmoid
0.5982911392405063,128.0 / 0.03125 / 1.0,Accuracy,train,128.0,0.03125,1.0,sigmoid
0.5376582278481012,128.0 / 0.0625 / 1.0,Accuracy,train,128.0,0.0625,1.0,sigmoid
0.5227848101265823,128.0 / 0.125 / 1.0,Accuracy,train,128.0,0.125,1.0,sigmoid
0.4874683544303798,128.0 / 0.25 / 1.0,Accuracy,train,128.0,0.25,1.0,sigmoid
0.8813924050632911,256.0 / 3e-05 / 0.0,Accuracy,train,256.0,3.0517578125e-05,0.0,sigmoid
0.8788607594936708,256.0 / 6e-05 / 0.0,Accuracy,train,256.0,6.103515625e-05,0.0,sigmoid
0.9040506329113924,256.0 / 0.01562 / 0.0,Accuracy,train,256.0,0.015625,0.0,sigmoid
0.7799683544303797,256.0 / 0.03125 / 0.0,Accuracy,train,256.0,0.03125,0.0,sigmoid
0.6561392405063291,256.0 / 0.0625 / 0.0,Accuracy,train,256.0,0.0625,0.0,sigmoid
0.5679113924050633,256.0 / 0.125 / 0.0,Accuracy,train,256.0,0.125,0.0,sigmoid
0.8813924050632911,256.0 / 3e-05 / 0.1,Accuracy,train,256.0,3.0517578125e-05,0.1,sigmoid
0.8788607594936708,256.0 / 6e-05 / 0.1,Accuracy,train,256.0,6.103515625e-05,0.1,sigmoid
0.8711392405063292,256.0 / 0.01562 / 0.1,Accuracy,train,256.0,0.015625,0.1,sigmoid
0.7471518987341772,256.0 / 0.03125 / 0.1,Accuracy,train,256.0,0.03125,0.1,sigmoid
0.6233860759493671,256.0 / 0.0625 / 0.1,Accuracy,train,256.0,0.0625,0.1,sigmoid
0.5528164556962025,256.0 / 0.125 / 0.1,Accuracy,train,256.0,0.125,0.1,sigmoid
0.5552848101265823,256.0 / 0.25 / 0.1,Accuracy,train,256.0,0.25,0.1,sigmoid
0.8838924050632911,256.0 / 3e-05 / 1.0,Accuracy,train,256.0,3.0517578125e-05,1.0,sigmoid
0.8864556962025316,256.0 / 6e-05 / 1.0,Accuracy,train,256.0,6.103515625e-05,1.0,sigmoid
0.8763291139240506,256.0 / 0.00012 / 1.0,Accuracy,train,256.0,0.0001220703125,1.0,sigmoid
